Model accuracy on 76247 test images: 61.80%
Category                                                                                            - Accuracy
                                                                                                  0 - 34.6
                                                                                                  1 - 58.3
                                                                                                  2 - 27.9
                                                                                                  3 - 24.8
                                                                                                  4 - 35.2
                                                                                                  5 - 53.0
                                                                                                  6 - 86.9
                                                                                                  7 - 42.9
                                                                                                  8 - 89.8
                                                                                                  9 - 38.2
                                                                                                 10 - 45.1
                                                                                                 11 - 59.4
                                                                                                 12 - 55.9
                                                                                                 13 - 45.0
                                                                                                 14 - 51.0
                                                                                                 15 - 19.8
                                                                                                 16 - 52.9
                                                                                                 17 - 44.0
                                                                                                 18 - 35.6
                                                                                                 19 - 51.9
                                                                                                 20 - 43.8
                                                                                                 21 - 47.0
                                                                                                 22 - 67.1
                                                                                                 23 - 39.4
                                                                                                 24 - 58.1
                                                                                                 25 - 64.0
                                                                                                 26 - 18.3
                                                                                                 27 - 60.3
                                                                                                 28 - 66.8
                                                                                                 29 - 66.9
                                                                                                 30 - 43.8
                                                                                                 31 - 34.1
                                                                                                 32 - 20.4
                                                                                                 33 - 49.2
                                                                                                 34 - 68.4
                                                                                                 35 - 34.1
                                                                                                 36 - 29.5
                                                                                                 37 - 37.7
                                                                                                 38 - 64.3
                                                                                                 39 - 51.7
                                                                                                 40 - 32.5
                                                                                                 41 - 75.5
                                                                                                 42 - 65.6
                                                                                                 43 - 33.8
                                                                                                 44 - 50.6
                                                                                                 45 - 30.8
                                                                                                 46 - 79.0
                                                                                                 47 - 41.6
                                                                                                 48 - 80.3
                                                                                                 49 - 60.6
                                                                                                 50 - 21.0
                                                                                                 51 - 66.4
                                                                                                 52 - 74.2
                                                                                                 53 - 56.4
                                                                                                 54 - 84.8
                                                                                                 55 - 50.2
                                                                                                 56 - 30.1
                                                                                                 57 - 27.8
                                                                                                 58 - 42.9
                                                                                                 59 - 14.0
                                                                                                 60 - 36.4
                                                                                                 61 - 13.2
                                                                                                 62 - 30.3
                                                                                                 63 - 71.0
                                                                                                 64 - 43.7
                                                                                                 65 - 69.7
                                                                                                 66 - 62.9
                                                                                                 67 - 47.5
                                                                                                 68 - 57.4
                                                                                                 69 - 60.2
                                                                                                 70 - 79.8
                                                                                                 71 - 71.6
                                                                                                 72 - 60.7
                                                                                                 73 - 76.8
                                                                                                 74 - 44.6
                                                                                                 75 - 28.3
                                                                                                 76 - 71.1
                                                                                                 77 - 61.8
                                                                                                 78 - 59.4
                                                                                                 79 - 32.8
                                                                                                 80 - 63.0
                                                                                                 81 - 40.1
                                                                                                 82 - 39.0
                                                                                                 83 - 45.2
                                                                                                 84 - 51.5
                                                                                                 85 - 50.4
                                                                                                 86 - 37.5
                                                                                                 87 - 45.8
                                                                                                 88 - 66.0
                                                                                                 89 - 34.3
                                                                                                 90 - 36.7
                                                                                                 91 - 69.0
                                                                                                 92 - 59.1
                                                                                                 93 - 51.2
                                                                                                 94 - 55.1
                                                                                                 95 - 28.3
                                                                                                 96 - 35.4
                                                                                                 97 - 14.9
                                                                                                 98 - 37.6
