Model accuracy on 76247 test images: 68.71%
Category                                                                                            - Accuracy
                                                                                                  0 - 39.8
                                                                                                  1 - 71.2
                                                                                                  2 - 34.8
                                                                                                  3 - 36.7
                                                                                                  4 - 53.0
                                                                                                  5 - 61.6
                                                                                                  6 - 89.3
                                                                                                  7 - 53.5
                                                                                                  8 - 88.1
                                                                                                  9 - 30.7
                                                                                                 10 - 61.6
                                                                                                 11 - 58.4
                                                                                                 12 - 57.1
                                                                                                 13 - 59.9
                                                                                                 14 - 61.3
                                                                                                 15 - 39.0
                                                                                                 16 - 63.8
                                                                                                 17 - 56.8
                                                                                                 18 - 47.2
                                                                                                 19 - 53.9
                                                                                                 20 - 47.9
                                                                                                 21 - 61.6
                                                                                                 22 - 76.8
                                                                                                 23 - 53.6
                                                                                                 24 - 63.2
                                                                                                 25 - 63.4
                                                                                                 26 - 37.3
                                                                                                 27 - 63.5
                                                                                                 28 - 71.0
                                                                                                 29 - 64.8
                                                                                                 30 - 52.8
                                                                                                 31 - 41.7
                                                                                                 32 - 21.7
                                                                                                 33 - 48.0
                                                                                                 34 - 69.2
                                                                                                 35 - 40.9
                                                                                                 36 - 32.9
                                                                                                 37 - 50.0
                                                                                                 38 - 64.2
                                                                                                 39 - 57.5
                                                                                                 40 - 45.3
                                                                                                 41 - 82.1
                                                                                                 42 - 73.3
                                                                                                 43 - 59.7
                                                                                                 44 - 59.8
                                                                                                 45 - 34.1
                                                                                                 46 - 83.5
                                                                                                 47 - 38.1
                                                                                                 48 - 86.6
                                                                                                 49 - 67.4
                                                                                                 50 - 25.8
                                                                                                 51 - 69.6
                                                                                                 52 - 76.1
                                                                                                 53 - 62.9
                                                                                                 54 - 84.4
                                                                                                 55 - 60.2
                                                                                                 56 - 31.4
                                                                                                 57 - 32.5
                                                                                                 58 - 53.2
                                                                                                 59 - 38.4
                                                                                                 60 - 47.8
                                                                                                 61 - 24.3
                                                                                                 62 - 56.8
                                                                                                 63 - 78.6
                                                                                                 64 - 50.6
                                                                                                 65 - 76.8
                                                                                                 66 - 72.9
                                                                                                 67 - 56.1
                                                                                                 68 - 64.7
                                                                                                 69 - 71.3
                                                                                                 70 - 85.7
                                                                                                 71 - 77.3
                                                                                                 72 - 55.2
                                                                                                 73 - 80.2
                                                                                                 74 - 52.6
                                                                                                 75 - 49.8
                                                                                                 76 - 78.3
                                                                                                 77 - 70.1
                                                                                                 78 - 55.9
                                                                                                 79 - 42.6
                                                                                                 80 - 69.7
                                                                                                 81 - 40.9
                                                                                                 82 - 53.1
                                                                                                 83 - 58.0
                                                                                                 84 - 60.7
                                                                                                 85 - 47.2
                                                                                                 86 - 45.4
                                                                                                 87 - 64.0
                                                                                                 88 - 79.1
                                                                                                 89 - 47.2
                                                                                                 90 - 49.3
                                                                                                 91 - 73.2
                                                                                                 92 - 67.0
                                                                                                 93 - 65.1
                                                                                                 94 - 62.6
                                                                                                 95 - 30.8
                                                                                                 96 - 40.9
                                                                                                 97 - 21.3
                                                                                                 98 - 50.9
