Model accuracy on 76247 test images: 56.14%
Category                                                                                            - Accuracy
                                                                                                  0 - 20.3
                                                                                                  1 - 40.7
                                                                                                  2 - 13.1
                                                                                                  3 - 27.9
                                                                                                  4 - 37.9
                                                                                                  5 - 58.2
                                                                                                  6 - 81.1
                                                                                                  7 - 34.8
                                                                                                  8 - 82.8
                                                                                                  9 - 16.2
                                                                                                 10 - 47.8
                                                                                                 11 - 38.2
                                                                                                 12 - 27.3
                                                                                                 13 - 43.1
                                                                                                 14 - 51.3
                                                                                                 15 - 20.3
                                                                                                 16 - 47.6
                                                                                                 17 - 35.0
                                                                                                 18 - 37.2
                                                                                                 19 - 36.5
                                                                                                 20 - 29.2
                                                                                                 21 - 46.6
                                                                                                 22 - 58.2
                                                                                                 23 - 39.4
                                                                                                 24 - 56.8
                                                                                                 25 - 41.7
                                                                                                 26 - 17.5
                                                                                                 27 - 55.4
                                                                                                 28 - 58.5
                                                                                                 29 - 59.4
                                                                                                 30 - 48.6
                                                                                                 31 - 21.2
                                                                                                 32 - 15.8
                                                                                                 33 - 20.2
                                                                                                 34 - 58.3
                                                                                                 35 - 27.6
                                                                                                 36 - 19.0
                                                                                                 37 - 43.1
                                                                                                 38 - 54.7
                                                                                                 39 - 29.5
                                                                                                 40 - 31.1
                                                                                                 41 - 70.9
                                                                                                 42 - 54.9
                                                                                                 43 - 51.4
                                                                                                 44 - 38.6
                                                                                                 45 - 28.4
                                                                                                 46 - 72.8
                                                                                                 47 - 23.9
                                                                                                 48 - 75.5
                                                                                                 49 - 56.8
                                                                                                 50 - 17.9
                                                                                                 51 - 44.9
                                                                                                 52 - 72.1
                                                                                                 53 - 54.6
                                                                                                 54 - 71.2
                                                                                                 55 - 48.3
                                                                                                 56 - 25.1
                                                                                                 57 - 20.7
                                                                                                 58 - 27.5
                                                                                                 59 - 26.2
                                                                                                 60 - 37.3
                                                                                                 61 - 17.8
                                                                                                 62 - 46.6
                                                                                                 63 - 66.0
                                                                                                 64 - 38.4
                                                                                                 65 - 59.5
                                                                                                 66 - 63.5
                                                                                                 67 - 45.9
                                                                                                 68 - 39.9
                                                                                                 69 - 50.9
                                                                                                 70 - 77.0
                                                                                                 71 - 69.9
                                                                                                 72 - 49.0
                                                                                                 73 - 65.9
                                                                                                 74 - 37.2
                                                                                                 75 - 30.9
                                                                                                 76 - 60.6
                                                                                                 77 - 52.0
                                                                                                 78 - 41.8
                                                                                                 79 - 17.4
                                                                                                 80 - 59.4
                                                                                                 81 - 33.0
                                                                                                 82 - 36.8
                                                                                                 83 - 47.9
                                                                                                 84 - 42.5
                                                                                                 85 - 23.3
                                                                                                 86 - 26.9
                                                                                                 87 - 38.7
                                                                                                 88 - 57.8
                                                                                                 89 - 31.1
                                                                                                 90 - 31.6
                                                                                                 91 - 65.7
                                                                                                 92 - 46.6
                                                                                                 93 - 49.8
                                                                                                 94 - 44.5
                                                                                                 95 - 17.4
                                                                                                 96 - 35.4
                                                                                                 97 - 8.2
                                                                                                 98 - 35.4
